requirement_id,requirement_title,charter_source,charter_locator,story_id,epic_id,verification
"FR11","Staff-only technical notes","C01","§2 / Accounts and access","US03","E01","Public/private paired records and unlinked-developer access checks."
"FR11","Staff-only technical notes","G03","§5 / Correct access boundaries","US10","E03","Public/private paired records and unlinked-developer access checks."
"FR11","Staff-only technical notes","G03","§5 / Correct access boundaries","US03","E01","Public/private paired records and unlinked-developer access checks."
"FR12","Change history","C07","§2 / Communication and history","US07","E03","History content/order/access checks, including failed writes leaving no event."
"FR12","Change history","C07","§2 / Communication and history","US09","E03","History content/order/access checks, including failed writes leaving no event."
"FR12","Change history","C07","§2 / Communication and history","US13","E04","History content/order/access checks, including failed writes leaving no event."
"FR12","Change history","C07","§2 / Communication and history","US17","E05","History content/order/access checks, including failed writes leaving no event."
"FR12","Change history","G04","§5 / Consistent data and lifecycle","US07","E03","History content/order/access checks, including failed writes leaving no event."
"FR12","Change history","G04","§5 / Consistent data and lifecycle","US09","E03","History content/order/access checks, including failed writes leaving no event."
"FR12","Change history","G04","§5 / Consistent data and lifecycle","US13","E04","History content/order/access checks, including failed writes leaving no event."
"FR12","Change history","G04","§5 / Consistent data and lifecycle","US17","E05","History content/order/access checks, including failed writes leaving no event."
"FR12","Change history","G03","§5 / Correct access boundaries","US07","E03","History content/order/access checks, including failed writes leaving no event."
"FR12","Change history","G03","§5 / Correct access boundaries","US09","E03","History content/order/access checks, including failed writes leaving no event."
"FR12","Change history","G03","§5 / Correct access boundaries","US13","E04","History content/order/access checks, including failed writes leaving no event."
"FR12","Change history","G03","§5 / Correct access boundaries","US17","E05","History content/order/access checks, including failed writes leaving no event."
"FR13","Record reproducible bugs","C05","§2 / Bug records","US11","E04","US11 required-field matrix and unique ID."
"FR13","Record reproducible bugs","G02","§5 / Reliable bug workflow","US11","E04","US11 required-field matrix and unique ID."
"FR14","Bug ownership and technical updates","C05","§2 / Bug records","US12","E04","Claim, reassign, unauthorized edit, and disable-owner checks."
"FR14","Bug ownership and technical updates","G02","§5 / Reliable bug workflow","US12","E04","Claim, reassign, unauthorized edit, and disable-owner checks."
"FR15","Link tickets and bugs without coupling closure","C05","§2 / Bug records","US13","E04","Two-by-two link fixture, removal, duplicates, and independent closure."
"FR15","Link tickets and bugs without coupling closure","G02","§5 / Reliable bug workflow","US13","E04","Two-by-two link fixture, removal, duplicates, and independent closure."
"FR15","Link tickets and bugs without coupling closure","G01","§5 / Complete support workflow","US13","E04","Two-by-two link fixture, removal, duplicates, and independent closure."
"FR16","Fix and verify bugs","C06","§2 / Bug lifecycle","US14","E04","All allowed edges, rejected Open → Closed, and failed verification."
"FR16","Fix and verify bugs","G02","§5 / Reliable bug workflow","US14","E04","All allowed edges, rejected Open → Closed, and failed verification."
"FR16","Fix and verify bugs","G04","§5 / Consistent data and lifecycle","US14","E04","All allowed edges, rejected Open → Closed, and failed verification."
"FR17","Search and filter tickets","C08","§2 / Search and filtering","US15","E05","US15 independent fixture queries and cross-user leak tests."
"FR17","Search and filter tickets","G05","§5 / Accurate queue visibility","US15","E05","US15 independent fixture queries and cross-user leak tests."
"FR17","Search and filter tickets","G03","§5 / Correct access boundaries","US15","E05","US15 independent fixture queries and cross-user leak tests."
"FR18","Search and filter bugs","C08","§2 / Search and filtering","US15","E05","US15 bug queries, no-results case, and forbidden roles."
"FR18","Search and filter bugs","G05","§5 / Accurate queue visibility","US15","E05","US15 bug queries, no-results case, and forbidden roles."
"FR18","Search and filter bugs","G03","§5 / Correct access boundaries","US15","E05","US15 bug queries, no-results case, and forbidden roles."
"FR19","Queue dashboard","C09","§2 / Dashboard","US16","E05","US16 independent counts and frozen-clock age boundaries."
"FR19","Queue dashboard","G05","§5 / Accurate queue visibility","US16","E05","US16 independent counts and frozen-clock age boundaries."
"FR20","Synthetic seed dataset","C10","§2 / Persistence and delivery","US18","E06","Fresh database seed twice with the same seed; compare expected IDs/counts."
"FR20","Synthetic seed dataset","G05","§5 / Accurate queue visibility","US18","E06","Fresh database seed twice with the same seed; compare expected IDs/counts."
"FR20","Synthetic seed dataset","G07","§5 / Repeatable delivery","US18","E06","Fresh database seed twice with the same seed; compare expected IDs/counts."
"FR21","Validate input without partial changes","C02","§2 / Ticket intake","US04","E02","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","C02","§2 / Ticket intake","US11","E04","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","C02","§2 / Ticket intake","US17","E05","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","C05","§2 / Bug records","US04","E02","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","C05","§2 / Bug records","US11","E04","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","C05","§2 / Bug records","US17","E05","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","G02","§5 / Reliable bug workflow","US04","E02","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","G02","§5 / Reliable bug workflow","US11","E04","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","G02","§5 / Reliable bug workflow","US17","E05","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","G04","§5 / Consistent data and lifecycle","US04","E02","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","G04","§5 / Consistent data and lifecycle","US11","E04","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","G04","§5 / Consistent data and lifecycle","US17","E05","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","G08","§5 / Delivery quality","US04","E02","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","G08","§5 / Delivery quality","US11","E04","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR21","Validate input without partial changes","G08","§5 / Delivery quality","US17","E05","Boundary values, malformed status/IDs, script-like text, and atomic-write failure cases."
"FR22","Repeatable demonstration package","C00","§1 — Executive summary","US18","E06","A non-author follows the committed instructions on a fresh checkout."
"FR22","Repeatable demonstration package","C00","§1 — Executive summary","US19","E06","A non-author follows the committed instructions on a fresh checkout."
"FR22","Repeatable demonstration package","C10","§2 / Persistence and delivery","US18","E06","A non-author follows the committed instructions on a fresh checkout."
"FR22","Repeatable demonstration package","C10","§2 / Persistence and delivery","US19","E06","A non-author follows the committed instructions on a fresh checkout."
"FR22","Repeatable demonstration package","G01","§5 / Complete support workflow","US18","E06","A non-author follows the committed instructions on a fresh checkout."
"FR22","Repeatable demonstration package","G01","§5 / Complete support workflow","US19","E06","A non-author follows the committed instructions on a fresh checkout."
"FR22","Repeatable demonstration package","G07","§5 / Repeatable delivery","US18","E06","A non-author follows the committed instructions on a fresh checkout."
"FR22","Repeatable demonstration package","G07","§5 / Repeatable delivery","US19","E06","A non-author follows the committed instructions on a fresh checkout."
"NFR01","Authorization completeness","C01","§2 / Accounts and access","US03","E01","Run the complete matrix suite; one unauthorized disclosure or mutation fails the requirement."
"NFR01","Authorization completeness","G03","§5 / Correct access boundaries","US03","E01","Run the complete matrix suite; one unauthorized disclosure or mutation fails the requirement."
"NFR01","Authorization completeness","G08","§5 / Delivery quality","US03","E01","Run the complete matrix suite; one unauthorized disclosure or mutation fails the requirement."
"NFR02","Persistence and atomicity","C10","§2 / Persistence and delivery","US17","E05","Execute W01–W10 and the separate atomicity-injection case in the review-resolution procedures; compare canonical pre/post-restart snapshots with zero mismatches."
"NFR02","Persistence and atomicity","G04","§5 / Consistent data and lifecycle","US17","E05","Execute W01–W10 and the separate atomicity-injection case in the review-resolution procedures; compare canonical pre/post-restart snapshots with zero mismatches."
"NFR03","Requester usability","G06","§5 / Usable requester experience","US05","E02","Record anonymous task results and elapsed times from first instruction to correct status."
"NFR03","Requester usability","C02","§2 / Ticket intake","US05","E02","Record anonymous task results and elapsed times from first instruction to correct status."
"NFR04","Queue accuracy","G05","§5 / Accurate queue visibility","US15","E05","Expected results computed directly from seed records, not copied from UI output."
"NFR04","Queue accuracy","G05","§5 / Accurate queue visibility","US16","E05","Expected results computed directly from seed records, not copied from UI output."
"NFR04","Queue accuracy","C08","§2 / Search and filtering","US15","E05","Expected results computed directly from seed records, not copied from UI output."
"NFR04","Queue accuracy","C08","§2 / Search and filtering","US16","E05","Expected results computed directly from seed records, not copied from UI output."
"NFR04","Queue accuracy","C09","§2 / Dashboard","US15","E05","Expected results computed directly from seed records, not copied from UI output."
"NFR04","Queue accuracy","C09","§2 / Dashboard","US16","E05","Expected results computed directly from seed records, not copied from UI output."
"NFR05","Interactive response time","G06","§5 / Usable requester experience","US16","E05","Execute the review-resolution protocol: five independent Support sessions, three operation phases, five warm-ups per phase, then 20 synchronized rounds of five requests. Retain raw measurements; this is a proposed target, not an achieved benchmark."
"NFR05","Interactive response time","C09","§2 / Dashboard","US16","E05","Execute the review-resolution protocol: five independent Support sessions, three operation phases, five warm-ups per phase, then 20 synchronized rounds of five requests. Retain raw measurements; this is a proposed target, not an achieved benchmark."
"NFR06","Fresh-checkout reproducibility","C10","§2 / Persistence and delivery","US18","E06","Observed independent setup run; no installation-time promise is invented."
"NFR06","Fresh-checkout reproducibility","G07","§5 / Repeatable delivery","US18","E06","Observed independent setup run; no installation-time promise is invented."
"NFR07","Release acceptance","G08","§5 / Delivery quality","US19","E06","Commit-specific acceptance report and open-defect review; unmet criteria cannot be marked done."
"NFR07","Release acceptance","C10","§2 / Persistence and delivery","US19","E06","Commit-specific acceptance report and open-defect review; unmet criteria cannot be marked done."
"NFR08","Auditable change records","C07","§2 / Communication and history","US17","E05","Enumerate expected events for scripted changes, test immutability, and inspect payloads."
"NFR08","Auditable change records","G04","§5 / Consistent data and lifecycle","US17","E05","Enumerate expected events for scripted changes, test immutability, and inspect payloads."
"NFR08","Auditable change records","G03","§5 / Correct access boundaries","US17","E05","Enumerate expected events for scripted changes, test immutability, and inspect payloads."
"NFR09","Team delivery evidence","G09","§5 / Team accountability","US20","E06","Use an actual dated team-adoption record to set the post-adoption audit interval; inspect PRs and sprint notes. PR #2's merge proves publication only. Adoption is currently unverified and this process requirement is not assessed/passed."
"NFR10","Prototype data boundary","C00","§1 — Executive summary","US18","E06","Create the complete artifact manifest and content-inspection record defined in the review-resolution procedures; every delivered seed/demo/evidence artifact must be accounted for and show zero real private records or live credentials."
"NFR10","Prototype data boundary","C00","§1 — Executive summary","US20","E06","Create the complete artifact manifest and content-inspection record defined in the review-resolution procedures; every delivered seed/demo/evidence artifact must be accounted for and show zero real private records or live credentials."
"NFR10","Prototype data boundary","C10","§2 / Persistence and delivery","US18","E06","Create the complete artifact manifest and content-inspection record defined in the review-resolution procedures; every delivered seed/demo/evidence artifact must be accounted for and show zero real private records or live credentials."
"NFR10","Prototype data boundary","C10","§2 / Persistence and delivery","US20","E06","Create the complete artifact manifest and content-inspection record defined in the review-resolution procedures; every delivered seed/demo/evidence artifact must be accounted for and show zero real private records or live credentials."
"NFR10","Prototype data boundary","G08","§5 / Delivery quality","US18","E06","Create the complete artifact manifest and content-inspection record defined in the review-resolution procedures; every delivered seed/demo/evidence artifact must be accounted for and show zero real private records or live credentials."
"NFR10","Prototype data boundary","G08","§5 / Delivery quality","US20","E06","Create the complete artifact manifest and content-inspection record defined in the review-resolution procedures; every delivered seed/demo/evidence artifact must be accounted for and show zero real private records or live credentials."
